,datetime,avg_int_seg1,avg_int_seg2,avg_int_seg3,avg_int_seg4,avg_int_seg5,avg_int_seg6,avg_int_seg7,avg_int_seg8,avg_int_seg9,avg_int_seg10,avg_int_seg11,avg_int_seg12,avg_int_seg13,avg_int_seg14,avg_int_seg15,avg_int_seg16
0,2021-09-18 00:00:04.84,135.49023679260185,148.60175619983056,125.09374514776668,147.56975401714556,321.3417022070966,176.22778467873184,140.33450218242672,256.50780453481525,308.7986014066445,127.47108931559788,109.68926894412614,249.49543674412988,258.9212069193566,181.41739686095434,122.93002720126057,211.3109095457447
1,2021-09-18 00:01:04.84,135.53953244589957,148.57817315010269,125.09875265255421,147.5594709860854,321.30732348253133,176.3018002863896,140.3362475487236,256.533825873433,308.7779488639304,127.58007407024022,109.74526773790548,249.6061036063236,258.93590020070275,181.40498714800614,122.89166796059556,211.32889084415922
2,2021-09-18 00:02:04.84,135.4788581111159,148.62598687517053,125.11992420452127,147.62107870589756,321.09429917144126,176.31074852348337,140.27837154736642,256.5765476241761,308.6859160153891,127.59230601130606,109.77300219704476,249.6707626704392,258.915372737781,181.30595068855095,122.9230874293371,211.28881786657004
3,2021-09-18 00:03:04.84,135.42094946797053,148.66610807162652,125.12690135661255,147.55742759086144,320.89051106420254,176.43009333540363,140.2932143493838,256.5186662645931,308.7909327214487,127.53471036120743,109.79469693706113,249.851911276734,258.8936606110795,181.38763911026868,122.88237036270264,211.19552559391335
4,2021-09-18 00:04:04.84,135.40015077758153,148.6888927181608,125.18073454905141,147.5510288774968,320.7246930599233,176.61926573848834,140.22237893138725,256.46994069415126,308.7791910356607,127.61725727331803,109.75449532589498,249.76399312204913,258.8149796709395,181.45127730151208,122.83619722926694,211.0988216620948
5,2021-09-18 00:05:04.84,135.4124743319117,148.7727006418817,125.15287913554049,147.4662875687474,320.67469952181966,176.65690325437492,140.07064564175997,256.42512959692124,308.7723777812283,127.63375630430907,109.70391590918882,249.79683159946862,258.8209849386678,181.3912247447551,122.76263305902042,211.08698221279093
6,2021-09-18 00:06:04.84,135.4048378064016,148.73687445253378,125.12683666016827,147.47817458607963,320.6669294504516,176.6689454192042,140.09862182196687,256.35492899093896,308.6808294371697,127.61138858697215,109.74763422794699,249.6914985996814,258.8095566712098,181.4223495455133,122.73823099793546,211.08742646170833
7,2021-09-18 00:07:04.84,135.44780510920606,148.79954623127844,125.0783818987975,147.4741983658582,320.5741165151711,176.59793603965747,140.11310951239008,256.4502433980959,308.5913973856886,127.64664814910661,109.81322821981935,249.75249728274935,258.69543214349386,181.4488232168756,122.78253512298075,211.12058123285544
8,2021-09-18 00:08:04.84,135.50041499734346,148.87549648903632,125.1084096751376,147.43048579100792,320.49249558437083,176.57052918816026,140.05321641967,256.5088800815635,308.5352581244357,127.68245978756563,109.83675957437643,249.82968876697203,258.39003904789837,181.33055184594838,122.72796007798078,211.13702131819724
9,2021-09-18 00:09:04.84,135.527094013412,148.9606987463921,125.11954896514443,147.44277344591393,320.4242536509714,176.61571462254656,140.06777887042884,256.446505550051,308.6185813938777,127.66416219542351,109.93990723588793,249.91343759524753,258.25302491819497,181.27100044515285,122.65568983661991,211.09297597892908
